Ticker,Close,ChangePct,RVOL,RSI4,ConnorsRSI,ATR,ADX,SqueezeOn,SqueezeHint,GapPct,RelSPY,HeuristicScore,Combined
AAPL,234.07000732421875,1.7562963814985233,1.161703412337802,54.99493749613434,74.59274044860703,4.743062756224833,24.285668933818943,0,0.6352437428745468,-0.3521269238326194,-0.013777516204442897,0.5783159080785606,0.5783159080785606
MSFT,509.8999938964844,1.7744124783092063,1.1061327864333066,76.8420241703409,92.22059293032949,7.938968976356623,19.85581789361296,1,0.6766655070033565,1.1257228440401397,-0.04339671799713618,0.47630339021618456,0.47630339021618456
NVDA,177.82000732421875,0.3668844397986648,0.6773258275587198,73.74456392462577,67.44350677537373,4.835048668078166,27.059242381553453,0,0.6131417385490286,0.3386612348121564,-0.04239363626953274,0.4265081897428185,0.4265081897428185
GOOGL,240.8000030517578,0.1788941811812439,0.7283050379972162,90.56314594539859,71.74720522309026,5.42402431657642,48.79380647951097,0,0.8646274086589213,0.0,0.1672383378484561,0.4058977463256882,0.4058977463256882
AMZN,228.14999389648438,-0.7827802024989672,1.1100382129157085,34.797712889757506,20.004136264017784,4.927528901980653,14.858334053823766,0,0.40216935042904234,0.17395484261018396,-0.031571417343897346,0.3984030039837669,0.3984030039837669
META,755.5900268554688,0.6245841375575933,0.8090638233759758,57.2074738920609,61.45331730278582,15.308760001454297,12.355189553032945,0,0.5809067907125788,-0.2889923924301127,-0.053252215735752895,0.5518891159259152,0.5518891159259152
BRK-B,493.739990234375,-0.6379451820997972,0.6694059294713586,44.13268641078682,29.847004085782203,6.640576171694071,23.977948403895194,0,0.5228336615138026,-0.23344341099201504,0.01097994710905259,0.4427395023954281,0.4427395023954281
TSLA,395.94000244140625,7.356092584909457,2.0941456315061777,93.74425458530605,97.75222952332865,13.750711998804432,19.474327203690226,0,1.3020376083300345,0.5775344749091572,0.1605484800961401,0.4736009446590575,0.4736009446590575
AVGO,359.8699951171875,0.06673253930888912,1.1859576287978435,71.70397069051975,54.38030360136769,14.100413457459112,28.726484312136865,0,0.9465261225627944,0.9120481424695588,0.13696381200679064,0.6170973601196263,0.6170973601196263
LLY,755.3900146484375,-0.11768321441265606,0.5707899336577885,74.24753240343519,44.32114652293945,18.58486361604385,12.562958889005737,0,0.848008466555178,0.5143536074723273,0.08435827974058818,0.4646716275429566,0.4646716275429566
JPM,306.9100036621094,0.4418137564805802,0.9660270651823454,76.83351415374788,78.120882541483,5.324297542191068,13.78408200716963,0,0.983218594727327,-0.18326926399662824,0.02402449181192301,0.4348830535259576,0.4348830535259576
V,339.42999267578125,-1.1819842423423932,0.6907182586241599,34.89305473923598,27.07616002414728,5.419765775418969,16.940685068229563,0,0.10514725268735826,-0.6608603098224154,-0.036859564650494225,0.3666971235069946,0.3666971235069946
WMT,103.48999786376953,0.8183110817381323,0.6306481533653784,74.67864981299338,78.98564096561543,1.7151439398046109,22.42684639523666,0,0.8965686986597662,-0.10716084628973965,0.006858219520494924,0.39216818238303713,0.39216818238303713
XOM,112.16000366210938,0.017838659327451545,0.7561085296599827,58.15659870426147,51.36917104093286,1.9448101127657482,18.39116673182563,0,0.6318837556250405,0.6420556666862153,0.02519560190038561,0.5800914689055549,0.5800914689055549
UNH,352.510009765625,-0.3110702840712798,0.7145322765296233,89.9390642118922,56.70329243130269,10.886308128648421,31.63214494939455,0,1.0136610939042399,0.6476085630458445,0.2791080145834539,0.5027033682824,0.5027033682824
MA,580.4099731445312,-1.41321278009221,0.9693836754717144,36.99501089973434,23.732535815688454,9.153423519027227,15.547326719671958,1,0.09707810212764043,-0.3889691545044907,-0.02505798850755514,0.5076973724197383,0.5076973724197383
PG,157.89999389648438,-0.4601972917213315,0.9408163313659939,43.46181436659517,34.197439032154904,2.119125444846282,14.775714932248784,1,0.5259601839217614,-0.4412861284019894,0.007739327938108165,0.5898405125428541,0.5898405125428541
HD,422.69000244140625,-0.17240823843408526,1.2451287309068648,71.93528446219486,48.279836288616785,7.117498601991053,37.157929537452894,0,0.9253666611993383,-0.743947927392931,0.0365610163964849,0.5632743335910159,0.5632743335910159
JNJ,178.05999755859375,-0.24649996717437395,0.9128897216774958,55.836437297852655,39.16976908008244,2.3778531192210317,31.71407038279743,1,0.5971027996802715,-0.4425732695421919,-0.0002029868743833596,0.6595136182782187,0.6595136182782187
COST,967.9000244140625,0.3712478287967391,0.7217434926691363,57.92532650489754,70.55046545363925,14.226924391073,13.985101775664488,0,0.6097182026281819,-0.4179141017780464,-0.026998235710081753,0.5133377262113862,0.5133377262113862
NFLX,1188.43994140625,-1.251355097112583,1.3922640129811048,21.504572349321606,14.322795766532613,28.722382173795193,15.562479427377262,1,0.020470335978201606,-0.036555164624013294,-0.05354767856267828,0.4344237157241187,0.4344237157241187
ORCL,292.17999267578125,-5.093222056083513,2.195116144914709,62.5418098603972,27.974887817310343,15.510113029367304,28.228195261435765,0,0.9107009406715372,-0.6723760492214677,0.17344683716638465,0.7192502723367055,0.7192502723367055
KO,67.01000213623047,-0.9021008364013983,1.104526172545091,17.152667212626696,13.898038291418056,0.9154215226681082,18.5128985651124,0,0.06365551663881228,-0.029583365348130886,-0.05583976656530387,0.2698971663300512,0.2698971663300512
PEP,143.52999877929688,-0.485333820271705,0.6682307095850647,39.74921353712137,37.064281674618236,2.838913402830873,29.360501199873255,0,0.1678822099798459,-0.1109258878593758,-0.05356766141786751,0.42009081223302985,0.42009081223302985
