Ticker,Date,Open,High,Low,Close,Volume,ChangePct,RSI2,RSI4,ConnorsRSI,RelSPY,RVOL,ATR,PctFrom200d,SqueezeHint,P_up,CrowdRisk,HeuristicScore,AgentsScore,AgentsConf,RetailChaseRisk,FinalScore,Combined,Combined_base,AgentBoost_exact,Combined_with_agents
PFE,2025-09-16 00:00:00-04:00,23.959999084472656,24.21999931335449,23.8700008392334,23.899999618530277,56954854.0,0.1256756524598445,2.941060973534576,22.06896188851341,41.47582252623334,-0.0051823170443247,1.4128341939108602,0.4349997384207589,-1.278581738346407,1,0.55,0.0,0.6439632905898607,,,0.0,0.6294126013667908,46.70486070777395,46.70486070777395,0.0,46.70486070777395
AAPL,2025-09-16 00:00:00-04:00,237.17999267578125,241.22000122070312,236.3235015869141,238.1499938964844,61246555.0,1.7430625217242257,50.0,60.042243911408754,62.66666666666666,0.0004362107233176,1.268689133383812,4.84857177734375,7.708142032669385,1,0.55,0.0,0.5653023811665583,,,0.0,0.6294126013667908,43.878144774909416,43.878144774909416,0.0,43.878144774909416
TSLA,2025-09-16 00:00:00-04:00,414.4949951171875,423.25,411.4299926757813,421.6199951171875,102406877.0,2.8241113869250656,50.0,50.0,58.333333333333336,0.0400431172915678,1.1796325283313371,14.81856427873884,27.18446386699622,1,0.55,0.0,0.5847939440853739,,,0.0,0.6294126013667908,42.493081739542426,42.493081739542426,0.0,42.493081739542426
META,2025-09-16 00:00:00-04:00,767.1199951171875,781.260009765625,765.0999755859375,779.0,11649109.0,3.0982374452394934,50.0,65.50116450624793,79.09965891628529,0.0071371711444235,1.1531624292782043,14.136426653180804,18.702782117451623,1,0.55,0.0,0.552275034707401,,,0.0,0.6294126013667908,41.634620297008325,41.634620297008325,0.0,41.634620297008325
F,2025-09-16 00:00:00-04:00,11.6850004196167,11.779999732971191,11.510000228881836,11.609999656677246,52449840.0,-0.5993206050475486,0.0,60.71426746797956,33.46256120212092,-0.0012448859931765,1.094285056431065,0.2107141358511788,14.479262222204705,1,0.55,0.0,0.5604198196128669,,,0.0,0.6294126013667908,40.373252268689534,40.373252268689534,0.0,40.373252268689534
CSCO,2025-09-16 00:00:00-04:00,67.0,67.37999725341797,66.55000305175781,66.93000030517578,17946639.0,0.601234831231312,25.64103818108013,42.65240325848872,53.33335876464844,0.0002053368517715,1.0840502928149895,1.0971423557826452,7.106045510082626,1,0.55,0.0,0.5963823594448756,,,0.0,0.6294126013667908,40.183059224817505,40.183059224817505,0.0,40.183059224817505
PEP,2025-09-16 00:00:00-04:00,140.7449951171875,141.30999755859375,139.91000366210938,140.02999877929688,9279040.0,-2.4385146169908944,0.0,25.28171055929313,10.403206555562022,-0.0022998766650382,1.0844646981907669,3.1036710740218934,-0.7877544445402784,1,0.55,0.0,0.631056876545278,,,0.0,0.6294126013667908,40.166295197164956,40.166295197164956,0.0,40.166295197164956
AMZN,2025-09-16 00:00:00-04:00,232.93499755859372,235.8999938964844,232.22999572753903,234.0500030517578,36757386.0,1.1320962964584511,50.0,73.01976084542576,66.54112468326504,-0.0033963986461115,1.053550654710638,4.939286368233817,9.213913129926832,1,0.55,0.0,0.534929599443978,,,0.0,0.6294126013667908,39.53704910775164,39.53704910775164,0.0,39.53704910775164
CVX,2025-09-16 00:00:00-04:00,158.25,160.0955047607422,158.1199951171875,159.5399932861328,7942587.0,1.5466823667118934,68.06717301453648,83.64416519806912,62.42786465235445,0.0071367796165246,0.9867101689795176,2.866105215890067,8.09455767581797,1,0.55,0.0,0.5199483067680861,,,0.0,0.6294126013667908,38.3055711757556,38.3055711757556,0.0,38.3055711757556
XOM,2025-09-16 00:00:00-04:00,112.95500183105467,115.31500244140624,112.7750015258789,114.68000030517578,13901567.0,2.2467872332262884,50.0,92.42103978207236,78.52873079388631,0.0086896621963266,0.9641436988241968,2.068929399762834,6.3686518283131655,1,0.55,0.0,0.5195435638423738,,,0.0,0.6294126013667908,37.8697705984472,37.8697705984472,0.0,37.8697705984472
MSFT,2025-09-16 00:00:00-04:00,516.8800048828125,517.22998046875,508.6000061035156,509.0400085449219,19508071.0,-1.226322762006704,46.34979767153879,70.34262514589315,29.30810939698485,0.0042800866944648,0.9409870180368606,7.804999215262277,14.198425095101964,1,0.55,0.0,0.5382628926697849,,,0.0,0.6294126013667908,37.36254122768186,37.36254122768186,0.0,37.36254122768186
HD,2025-09-16 00:00:00-04:00,423.75,424.3594970703125,420.0899963378906,421.4500122070313,3724650.0,-0.2980717923675491,1.5616804158123188,83.68858015503953,29.3314961865286,0.0029843491104884,0.9227419034176244,5.996954163433908,11.122766511700632,1,0.55,0.0,0.5185443685416672,,,0.0,0.6294126013667908,36.98468155945737,36.98468155945737,0.0,36.98468155945737
V,2025-09-16 00:00:00-04:00,336.239990234375,340.5400085449219,333.4700012207031,340.0299987792969,4484348.0,0.1767687347796531,12.87565733894786,37.54719190189842,53.17381836917045,-0.0012594945618723,0.884589306642324,5.274998256138393,0.0224451451935614,1,0.55,0.0,0.6025596174921936,,,0.0,0.6294126013667908,36.17919118722776,36.17919118722776,0.0,36.17919118722776
NFLX,2025-09-16 00:00:00-04:00,1205.6400146484375,1208.9998779296875,1197.280029296875,1200.510009765625,2364486.0,1.0156229136066175,44.48953880764904,13.892783980261967,55.63968483745082,-0.0070475155060041,0.8774207558569064,27.22498430524553,11.87357433776588,1,0.55,0.0,0.6373369896519581,,,0.0,0.6294126013667908,35.97793996207809,35.97793996207809,0.0,35.97793996207809
