date,n1,n2,n3,n4,n5,n6
11/30/2011,11,30,11,3,13,15
12/03/2011,12,3,11,1,9,20
12/07/2011,12,7,11,18,25,26
12/10/2011,12,10,11,3,13,26
12/14/2011,12,14,11,13,16,17
12/17/2011,12,17,11,15,17,22
12/21/2011,12,21,11,1,3,17
12/24/2011,12,24,11,1,22,23
12/28/2011,12,28,11,1,11,13
12/31/2011,12,31,11,4,22,25
01/04/2012,1,4,12,7,13,16
01/07/2012,1,7,12,12,16,22
01/11/2012,1,11,12,8,12,21
01/14/2012,1,14,12,11,20,22
01/18/2012,1,18,12,1,11,12
01/21/2012,1,21,12,5,21,30
01/25/2012,1,25,12,3,11,12
01/28/2012,1,28,12,15,17,20
02/01/2012,2,1,12,14,15,16
02/04/2012,2,4,12,13,21,27
02/08/2012,2,8,12,7,16,22
02/11/2012,2,11,12,1,7,18
02/15/2012,2,15,12,16,23,28
02/18/2012,2,18,12,14,15,31
02/22/2012,2,22,12,5,10,11
02/25/2012,2,25,12,6,13,18
02/29/2012,2,29,12,11,19,30
03/03/2012,3,3,12,4,13,15
03/07/2012,3,7,12,5,7,28
03/10/2012,3,10,12,11,18,20
03/14/2012,3,14,12,9,10,19
03/17/2012,3,17,12,4,9,11
03/21/2012,3,21,12,3,6,7
03/24/2012,3,24,12,11,14,17
03/28/2012,3,28,12,2,4,5
03/31/2012,3,31,12,2,13,20
04/04/2012,4,4,12,4,5,6
04/07/2012,4,7,12,4,15,18
04/11/2012,4,11,12,4,7,13
04/14/2012,4,14,12,1,6,13
04/18/2012,4,18,12,4,7,8
04/21/2012,4,21,12,4,13,19
04/25/2012,4,25,12,9,10,11
04/28/2012,4,28,12,5,19,32
05/02/2012,5,2,12,13,17,19
05/05/2012,5,5,12,4,10,12
05/09/2012,5,9,12,2,5,6
05/12/2012,5,12,12,1,16,20
05/16/2012,5,16,12,4,14,15
05/19/2012,5,19,12,1,4,8
05/23/2012,5,23,12,7,17,18
05/26/2012,5,26,12,5,6,15
05/30/2012,5,30,12,4,8,14
06/02/2012,6,2,12,4,11,14
06/06/2012,6,6,12,8,11,15
06/09/2012,6,9,12,11,18,25
06/13/2012,6,13,12,5,8,11
06/16/2012,6,16,12,16,17,22
06/20/2012,6,20,12,1,16,20
06/23/2012,6,23,12,5,11,20
06/27/2012,6,27,12,16,28,31
06/30/2012,6,30,12,1,3,14
07/04/2012,7,4,12,8,13,20
07/07/2012,7,7,12,2,4,7
07/11/2012,7,11,12,14,16,24
07/14/2012,7,14,12,2,5,14
07/18/2012,7,18,12,3,10,26
07/21/2012,7,21,12,2,6,10
07/25/2012,7,25,12,4,13,21
07/28/2012,7,28,12,8,9,20
08/01/2012,8,1,12,4,16,18
08/04/2012,8,4,12,8,14,16
08/08/2012,8,8,12,2,12,14
08/11/2012,8,11,12,1,2,10
08/15/2012,8,15,12,10,14,32
08/18/2012,8,18,12,7,17,18
08/22/2012,8,22,12,16,23,26
08/25/2012,8,25,12,4,5,8
08/29/2012,8,29,12,1,3,4
09/01/2012,9,1,12,8,12,18
09/05/2012,9,5,12,6,14,28
09/08/2012,9,8,12,2,7,24
09/12/2012,9,12,12,4,10,25
09/15/2012,9,15,12,5,21,27
09/19/2012,9,19,12,13,18,23
09/22/2012,9,22,12,4,13,16
09/26/2012,9,26,12,17,18,29
09/29/2012,9,29,12,6,13,20
10/03/2012,10,3,12,1,2,3
10/06/2012,10,6,12,25,32,37
10/10/2012,10,10,12,11,15,21
10/13/2012,10,13,12,5,10,12
10/17/2012,10,17,12,5,7,15
10/20/2012,10,20,12,1,9,11
10/24/2012,10,24,12,3,18,26
10/27/2012,10,27,12,4,11,13
10/31/2012,10,31,12,15,16,17
11/03/2012,11,3,12,15,17,20
11/07/2012,11,7,12,1,24,30
11/10/2012,11,10,12,3,5,12
11/14/2012,11,14,12,4,6,13
11/17/2012,11,17,12,9,24,25
11/21/2012,11,21,12,2,7,18
11/24/2012,11,24,12,6,11,29
11/28/2012,11,28,12,4,11,18
12/01/2012,12,1,12,10,16,25
12/05/2012,12,5,12,8,13,17
12/08/2012,12,8,12,5,6,10
12/12/2012,12,12,12,14,17,18
12/15/2012,12,15,12,14,22,23
12/19/2012,12,19,12,8,12,15
12/22/2012,12,22,12,7,8,10
12/26/2012,12,26,12,16,17,28
12/29/2012,12,29,12,14,16,20
01/02/2013,1,2,13,6,7,20
01/05/2013,1,5,13,14,15,18
01/09/2013,1,9,13,10,20,21
01/12/2013,1,12,13,4,5,11
01/16/2013,1,16,13,4,19,20
01/19/2013,1,19,13,8,9,11
01/23/2013,1,23,13,1,3,6
01/26/2013,1,26,13,2,3,7
01/30/2013,1,30,13,3,9,23
02/02/2013,2,2,13,1,7,26
02/06/2013,2,6,13,7,25,32
02/09/2013,2,9,13,6,12,18
02/13/2013,2,13,13,1,13,19
02/16/2013,2,16,13,3,9,21
02/20/2013,2,20,13,2,14,26
02/23/2013,2,23,13,12,13,22
02/27/2013,2,27,13,1,3,8
03/02/2013,3,2,13,10,20,21
03/06/2013,3,6,13,1,17,35
03/09/2013,3,9,13,5,12,13
03/13/2013,3,13,13,10,18,20
03/16/2013,3,16,13,18,21,27
03/20/2013,3,20,13,10,11,14
03/23/2013,3,23,13,2,13,14
03/27/2013,3,27,13,2,7,11
03/30/2013,3,30,13,15,24,30
04/03/2013,4,3,13,1,20,25
04/06/2013,4,6,13,7,12,20
04/10/2013,4,10,13,3,4,9
04/13/2013,4,13,13,2,10,17
04/17/2013,4,17,13,8,15,19
04/20/2013,4,20,13,16,18,20
04/24/2013,4,24,13,3,14,15
04/27/2013,4,27,13,3,14,17
05/01/2013,5,1,13,4,19,20
05/04/2013,5,4,13,6,8,27
05/08/2013,5,8,13,2,5,10
05/11/2013,5,11,13,8,18,34
05/15/2013,5,15,13,4,6,15
05/18/2013,5,18,13,5,7,17
05/22/2013,5,22,13,9,16,19
05/25/2013,5,25,13,5,8,19
05/29/2013,5,29,13,4,7,9
06/01/2013,6,1,13,2,13,17
