n1,n2,n3,n4,n5,s1,draw_date,lucky_ball,white1,white2,white3,white4,white5,special
,,,,,,2017-07-20,,7,20,17,2,10,13
,,,,,,2017-07-24,,7,24,17,16,26,27
,,,,,,2017-07-27,,7,27,17,16,17,31
,,,,,,2017-07-31,,7,31,17,7,14,22
,,,,,,2017-08-03,,8,3,17,11,26,30
,,,,,,2017-08-07,,8,7,17,7,12,22
,,,,,,2017-08-10,,8,10,17,19,29,30
,,,,,,2017-08-14,,8,14,17,4,8,15
,,,,,,2017-08-17,,8,17,17,12,17,31
,,,,,,2017-08-21,,8,21,17,5,29,38
,,,,,,2017-08-24,,8,24,17,1,3,27
,,,,,,2017-08-28,,8,28,17,1,5,6
,,,,,,2017-08-31,,8,31,17,19,20,36
,,,,,,2017-09-04,,9,4,17,1,4,9
,,,,,,2017-09-07,,9,7,17,19,27,28
,,,,,,2017-09-11,,9,11,17,11,23,27
,,,,,,2017-09-14,,9,14,17,4,9,14
,,,,,,2017-09-18,,9,18,17,4,14,19
,,,,,,2017-09-21,,9,21,17,7,13,19
,,,,,,2017-09-25,,9,25,17,14,17,19
,,,,,,2017-09-28,,9,28,17,9,10,12
,,,,,,2017-10-02,,10,2,17,24,25,28
,,,,,,2017-10-05,,10,5,17,12,13,21
,,,,,,2017-10-09,,10,9,17,19,21,23
,,,,,,2017-10-12,,10,12,17,5,19,27
,,,,,,2017-10-16,,10,16,17,1,2,12
,,,,,,2017-10-19,,10,19,17,9,24,27
,,,,,,2017-10-23,,10,23,17,4,7,9
,,,,,,2017-10-26,,10,26,17,2,6,12
,,,,,,2017-10-30,,10,30,17,2,12,22
,,,,,,2017-11-02,,11,2,17,2,4,8
,,,,,,2017-11-06,,11,6,17,22,24,28
,,,,,,2017-11-09,,11,9,17,10,36,40
,,,,,,2017-11-13,,11,13,17,20,21,37
,,,,,,2017-11-16,,11,16,17,14,20,21
,,,,,,2017-11-20,,11,20,17,7,16,20
,,,,,,2017-11-23,,11,23,17,10,15,19
,,,,,,2017-11-27,,11,27,17,12,13,20
,,,,,,2017-11-30,,11,30,17,2,3,27
,,,,,,2017-12-04,,12,4,17,1,2,7
,,,,,,2017-12-07,,12,7,17,7,18,21
,,,,,,2017-12-11,,12,11,17,16,37,46
,,,,,,2017-12-14,,12,14,17,17,21,25
,,,,,,2017-12-18,,12,18,17,13,16,21
,,,,,,2017-12-21,,12,21,17,10,14,15
,,,,,,2017-12-25,,12,25,17,8,37,43
