Ticker,Date,Open,High,Low,Close,Volume,ChangePct,RSI2,RSI4,ConnorsRSI,RelSPY,RVOL,ATR,PctFrom200d,SqueezeHint
AAPL,250,255.22000122070312,255.72999572753903,251.0399932861328,251.80999755859372,19673058.0,-1.029750891250536,0.0,80.99690885187468,30.7486059848802,0.010748654459942553,0.33557310249146916,5.264286586216509,13.727112861485091,1
MSFT,250,510.6199951171875,512.47998046875,507.2200012207031,507.9299926757813,5625534.0,-0.2552909849183549,0.0,48.66524627146258,10.333333333333334,-0.0007704181350003836,0.2791720678439159,7.881426130022313,13.303722954265162,1
NVDA,250,179.72000122070312,179.77999877929688,175.39999389648438,176.15499877929688,81772313.0,-1.2750064394264626,0.0,49.713299388310276,21.070395696658828,0.007140099068954364,0.4282976577809237,5.411332704338938,24.527305531062883,1
AMZN,250,224.19000244140625,224.55999755859372,219.5399932861328,220.8950042724609,26034708.0,0.083819289097109,2.603767344668057,3.8821783122027256,42.22956879765322,-0.009359338338758572,0.6227698739828788,5.036430358886706,2.8360769768087213,1
META,250,757.9526977539062,760.489990234375,752.5250854492188,754.0449829101562,4289843.0,-0.17938065397301584,0.0,0.0,15.333333333333334,-0.0054853418515493635,0.41057799998634226,15.717088904198606,13.864812336745679,1
GOOGL,250,251.66000366210935,252.35009765625,247.0200042724609,248.53500366210935,13450581.0,-1.2417547304003795,0.0,30.309886663732286,4.333333333333333,-0.0007536341802754753,0.33922225429450414,5.23476186675377,35.1003032217768,0
TSLA,250,429.8299865722656,440.5400085449219,429.0300903320313,437.2099914550781,52039913.0,2.667602486496401,57.606502172755754,77.45416596709892,61.99760839362552,0.005497727332993874,0.5799478850982884,17.011424473353795,30.93279154268398,1
AMD,250,162.99000549316406,165.10000610351562,158.42999267578125,160.13499450683594,23435388.0,-0.4754502291284157,59.200032552083336,73.04890441409972,47.03508396212721,0.0012587534249402844,0.5358703231660024,5.88499995640346,26.156431493541987,1
NFLX,250,1218.8499755859375,1221.5,1194.199951171875,1199.1650390625,1324088.0,-1.584358425303245,0.0,40.98754648359283,5.799481078128466,-0.004749264349307803,0.4681726681423733,26.537859235491073,10.564792979431203,1
AVGO,250,339.7550048828125,340.0,333.8099975585937,336.6025085449219,8367894.0,-0.6896482798274817,6.029934977303398,1.773651086925156,34.62128681582607,-0.005231222003687442,0.2797133264433889,15.683104984023515,39.85797037965653,1
JPM,250,314.04998779296875,316.5773010253906,312.75,313.3999938964844,2295949.0,0.21103910044082408,50.0,51.752409956960555,42.69691925450521,0.0010665229816054112,0.27968195386839706,5.28409467424666,18.491629939844458,1
BAC,250,51.84999847412109,52.25,51.56499862670898,51.70500183105469,9909812.0,0.009673245728114566,2.222712013834723,18.518539449665724,38.9670309528719,0.0012095823692134466,0.2648411568592371,0.8917863028390062,16.0408508098419,1
XOM,250,114.56999969482422,115.76000213623048,114.56999969482422,115.54499816894533,4878023.0,1.3997378353836964,50.0,64.85737186910873,73.16761306339126,0.0005192609406138082,0.3094141674097757,1.9664295741489954,7.197074794866998,1
