n1,n2,n3,n4,n5,n6,draw_date
11,30,11,3,13,15,2011-11-30
12,3,11,1,9,20,2011-12-03
12,7,11,18,25,26,2011-12-07
12,10,11,3,13,26,2011-12-10
12,14,11,13,16,17,2011-12-14
12,17,11,15,17,22,2011-12-17
12,21,11,1,3,17,2011-12-21
12,24,11,1,22,23,2011-12-24
12,28,11,1,11,13,2011-12-28
12,31,11,4,22,25,2011-12-31
1,4,12,7,13,16,2012-01-04
1,7,12,12,16,22,2012-01-07
1,11,12,8,12,21,2012-01-11
1,14,12,11,20,22,2012-01-14
1,18,12,1,11,12,2012-01-18
1,21,12,5,21,30,2012-01-21
1,25,12,3,11,12,2012-01-25
1,28,12,15,17,20,2012-01-28
2,1,12,14,15,16,2012-02-01
2,4,12,13,21,27,2012-02-04
2,8,12,7,16,22,2012-02-08
2,11,12,1,7,18,2012-02-11
2,15,12,16,23,28,2012-02-15
2,18,12,14,15,31,2012-02-18
2,22,12,5,10,11,2012-02-22
2,25,12,6,13,18,2012-02-25
2,29,12,11,19,30,2012-02-29
3,3,12,4,13,15,2012-03-03
3,7,12,5,7,28,2012-03-07
3,10,12,11,18,20,2012-03-10
3,14,12,9,10,19,2012-03-14
3,17,12,4,9,11,2012-03-17
3,21,12,3,6,7,2012-03-21
3,24,12,11,14,17,2012-03-24
3,28,12,2,4,5,2012-03-28
3,31,12,2,13,20,2012-03-31
4,4,12,4,5,6,2012-04-04
4,7,12,4,15,18,2012-04-07
4,11,12,4,7,13,2012-04-11
4,14,12,1,6,13,2012-04-14
4,18,12,4,7,8,2012-04-18
4,21,12,4,13,19,2012-04-21
4,25,12,9,10,11,2012-04-25
4,28,12,5,19,32,2012-04-28
5,2,12,13,17,19,2012-05-02
5,5,12,4,10,12,2012-05-05
5,9,12,2,5,6,2012-05-09
5,12,12,1,16,20,2012-05-12
5,16,12,4,14,15,2012-05-16
5,19,12,1,4,8,2012-05-19
5,23,12,7,17,18,2012-05-23
5,26,12,5,6,15,2012-05-26
5,30,12,4,8,14,2012-05-30
6,2,12,4,11,14,2012-06-02
6,6,12,8,11,15,2012-06-06
6,9,12,11,18,25,2012-06-09
6,13,12,5,8,11,2012-06-13
6,16,12,16,17,22,2012-06-16
6,20,12,1,16,20,2012-06-20
6,23,12,5,11,20,2012-06-23
6,27,12,16,28,31,2012-06-27
6,30,12,1,3,14,2012-06-30
7,4,12,8,13,20,2012-07-04
7,7,12,2,4,7,2012-07-07
7,11,12,14,16,24,2012-07-11
7,14,12,2,5,14,2012-07-14
7,18,12,3,10,26,2012-07-18
7,21,12,2,6,10,2012-07-21
7,25,12,4,13,21,2012-07-25
7,28,12,8,9,20,2012-07-28
8,1,12,4,16,18,2012-08-01
8,4,12,8,14,16,2012-08-04
8,8,12,2,12,14,2012-08-08
