Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-26 00:00:00-04:00,176.76631201341135,178.49931507236636,173.3003058955013,176.36029052734375,24340000,0.0,0.0
2024-09-27 00:00:00-04:00,176.439527792968,176.73661707473588,170.09178108523466,171.01275634765625,20580900,0.0,0.0
2024-09-30 00:00:00-04:00,170.20071423570963,171.2405191722083,167.9824798224737,170.82460021972656,16902000,0.0,0.0
2024-10-01 00:00:00-04:00,170.48789550462308,170.5770177509272,164.18966655247303,165.84344482421875,23770400,0.0,0.0
2024-10-02 00:00:00-04:00,165.9226621490386,171.1612760123553,165.39781101925666,169.00245666503906,14317800,0.0,0.0
2024-10-03 00:00:00-04:00,167.97256313386657,173.24089995655416,167.54674675632296,170.22052001953125,13072300,0.0,0.0
2024-10-04 00:00:00-04:00,174.58768332940795,175.18184674283066,170.92362272624484,174.92437744140625,17921400,0.0,0.0
2024-10-07 00:00:00-04:00,173.12207779439058,176.57817169408136,172.17139509196383,173.37954711914062,15588300,0.0,0.0
2024-10-08 00:00:00-04:00,173.71623095853627,179.83621554919543,173.19137979382808,178.9746551513672,20774200,0.0,0.0
2024-10-09 00:00:00-04:00,177.49913097619756,184.60938773422495,174.70651306694162,184.14395141601562,25504100,0.0,0.0
2024-10-10 00:00:00-04:00,181.77717263970405,184.50046328803617,180.75717771481217,183.88648986816406,16318000,0.0,0.0
2024-10-11 00:00:00-04:00,179.3806673451317,180.8165811195631,175.67698685767022,179.7173614501953,23070000,0.0,0.0
2024-10-14 00:00:00-04:00,181.5196966779229,183.15366496283175,178.3804872042927,180.539306640625,17195800,0.0,0.0
2024-10-15 00:00:00-04:00,179.0340627216932,179.93522793420144,171.68613160323068,174.27078247070312,27657500,0.0,0.0
2024-10-16 00:00:00-04:00,176.77623448819648,177.50905275388254,173.62712716522736,175.1026611328125,15285100,0.0,0.0
2024-10-17 00:00:00-04:00,179.60844185047134,183.70823156020924,178.93505359301514,179.7668914794922,25232400,0.0,0.0
2024-10-18 00:00:00-04:00,180.54922880885127,180.93544033917294,176.94456771173088,178.142822265625,17835200,0.0,0.0
2024-10-21 00:00:00-04:00,177.63777582978662,179.9550449433887,176.51874612415835,178.24185180664062,13695100,0.0,0.0
2024-10-22 00:00:00-04:00,176.9247634175829,178.93504577739043,175.6869040772784,177.6377716064453,12062600,0.0,0.0
2024-10-23 00:00:00-04:00,175.8651738651653,177.24167304515228,170.893940919077,171.82479858398438,19513700,0.0,0.0
2024-10-24 00:00:00-04:00,172.5674854917396,172.6071054516443,167.85372267243142,169.68576049804688,20485200,0.0,0.0
2024-10-25 00:00:00-04:00,172.49817717545855,175.08282808195315,171.04245338268643,171.31973266601562,19977700,0.0,0.0
2024-10-28 00:00:00-04:00,171.31973593301035,172.28031600807137,169.6857676171908,170.34925842285156,13195800,0.0,0.0
2024-10-29 00:00:00-04:00,170.7651724807408,178.47950516629209,169.54712313261953,177.49913024902344,23702300,0.0,0.0
2024-10-30 00:00:00-04:00,175.74631785169916,177.44961350256852,173.91427999482383,174.92437744140625,17911500,0.0,0.0
2024-10-31 00:00:00-04:00,172.75564714276132,172.75564714276132,165.75432254589208,168.12110900878906,26086600,0.0,0.0
2024-11-01 00:00:00-04:00,166.6257797514481,169.6659698200376,165.87316664409886,167.2793731689453,17847000,0.0,0.0
2024-11-04 00:00:00-05:00,167.63586952300355,170.77507913589062,166.7842216547013,166.9129638671875,13621300,0.0,0.0
2024-11-05 00:00:00-05:00,168.3984005421038,172.70614230910505,168.3984005421038,172.21099853515625,13441800,0.0,0.0
2024-11-06 00:00:00-05:00,177.885361904219,178.4597305108979,174.25100831782032,177.80613708496094,24300800,0.0,0.0
2024-11-07 00:00:00-05:00,180.22241918834501,183.07443678058763,180.02434960908053,182.0247344970703,18970600,0.0,0.0
2024-11-08 00:00:00-05:00,181.21270348770173,183.2526931896791,180.06396643454977,181.85638427734375,13503200,0.0,0.0
2024-11-11 00:00:00-05:00,181.6187137799772,181.84649077497406,175.102635602685,177.17233276367188,17036700,0.0,0.0
2024-11-12 00:00:00-05:00,177.16243193825173,177.81602533040748,171.51779607551657,174.5084686279297,15862000,0.0,0.0
2024-11-13 00:00:00-05:00,173.01313370088798,173.88457641524784,170.92362649649763,171.89410400390625,17472500,0.0,0.0
2024-11-14 00:00:00-05:00,173.07255073274544,173.86478375544337,168.22013291283804,168.72518920898438,20638900,0.0,0.0
2024-11-15 00:00:00-05:00,166.83373151076256,167.4972223033108,161.84267419312238,163.23898315429688,20836200,0.0,0.0
2024-11-18 00:00:00-05:00,164.05101565166774,164.7343163809476,160.6444245501248,164.0609130859375,17856900,0.0,0.0
