Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-24 00:00:00-04:00,200.04460564710928,202.33571210648148,198.6369376322723,198.95730590820312,5573200,0.0,0.0
2024-09-25 00:00:00-04:00,197.20985792323367,199.37475475260624,197.190437623235,199.0738067626953,4124600,0.0,0.0
2024-09-26 00:00:00-04:00,204.18026787193378,204.42296977945747,199.07381025709216,203.1511993408203,4521300,0.0,0.0
2024-09-27 00:00:00-04:00,204.67536568119021,205.53938384250628,202.7143302044898,203.03469848632812,3074400,0.0,0.0
2024-09-30 00:00:00-04:00,200.08345312772983,202.6075440103477,198.14183791955526,200.53973388671875,5459100,0.0,0.0
2024-10-01 00:00:00-04:00,200.04459112922697,200.97657284732958,193.87025483516953,195.7147979736328,9039900,0.0,0.0
2024-10-02 00:00:00-04:00,196.98656950845822,199.74365947899145,195.82160337574612,197.4913787841797,4389400,0.0,0.0
2024-10-03 00:00:00-04:00,195.2100029238837,197.5011095573229,194.42365110201393,195.78277587890625,3167000,0.0,0.0
2024-10-04 00:00:00-04:00,200.0834411633324,200.3358457924966,195.4623877636592,196.7924041748047,4092900,0.0,0.0
2024-10-07 00:00:00-04:00,194.73429806769246,196.86036913793367,193.84115682972492,195.3944549560547,2772400,0.0,0.0
2024-10-08 00:00:00-04:00,195.11290284956522,197.3166401990336,193.42370714464025,196.3070068359375,6283700,0.0,0.0
2024-10-09 00:00:00-04:00,195.66625971827736,199.50094648115817,195.50122421655155,198.98641967773438,3214900,0.0,0.0
2024-10-10 00:00:00-04:00,196.06429595660836,197.42342057798277,195.01582204297065,196.5594024658203,3649400,0.0,0.0
2024-10-11 00:00:00-04:00,195.49151925871416,199.78248702014756,195.49151925871416,199.12234497070312,2815800,0.0,0.0
2024-10-14 00:00:00-04:00,200.12228618698992,202.859970840418,199.63688236730542,202.5687255859375,3291600,0.0,0.0
2024-10-15 00:00:00-04:00,201.94740926019568,202.55900799983277,193.09363351734808,194.00619506835938,6818800,0.0,0.0
2024-10-16 00:00:00-04:00,196.08371037932298,196.20021736171367,193.46253288242696,194.8313751220703,3311300,0.0,0.0
2024-10-17 00:00:00-04:00,198.91847558432494,198.91847558432494,192.32669835670973,192.5111541748047,4686900,0.0,0.0
2024-10-18 00:00:00-04:00,193.65670361958323,194.12270195176916,190.9967001700962,192.6761932373047,4029500,0.0,0.0
