Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-19 00:00:00-04:00,571.3292996738836,572.4157830161712,562.3833605951886,564.8204956054688,2945700,0.0,0.0
2024-09-20 00:00:00-04:00,559.5645555641664,566.5530093654019,557.5580827920982,562.7944946289062,5398700,0.0,0.0
2024-09-23 00:00:00-04:00,564.2528578924125,567.1304530074634,559.8581765196708,561.2382202148438,2386100,0.0,0.0
2024-09-24 00:00:00-04:00,558.7032353330995,565.0554628211,553.9855420991258,562.98046875,3188500,0.0,0.0
2024-09-25 00:00:00-04:00,565.6035436329053,568.7747585659922,560.9152425114048,564.07666015625,2658800,0.0,0.0
2024-09-26 00:00:00-04:00,562.7944897722764,564.360502717556,558.7912818117921,562.6085205078125,2751900,0.0,0.0
2024-09-27 00:00:00-04:00,565.4176175151142,574.2559669747887,564.3507883274884,569.4990844726562,2986200,0.0,0.0
2024-09-30 00:00:00-04:00,571.1140369795719,573.9720373698558,566.4550680107487,572.2689819335938,3009700,0.0,0.0
2024-10-01 00:00:00-04:00,572.5821999590448,576.2036719750744,568.4420093221548,570.9182739257812,2648400,0.0,0.0
2024-10-02 00:00:00-04:00,591.4334103957027,591.6879009460196,571.8481521848785,579.737060546875,3667000,0.0,0.0
2024-10-03 00:00:00-04:00,578.0731359476885,580.6375165560838,571.9656016822105,580.167724609375,2645800,0.0,0.0
2024-10-04 00:00:00-04:00,579.5608865265464,583.4759786971669,575.9492116095663,578.650634765625,2462600,0.0,0.0
2024-10-07 00:00:00-04:00,576.2917543892207,579.8642998666267,570.9476918457133,571.1727905273438,2591100,0.0,0.0
2024-10-08 00:00:00-04:00,575.5772319931557,576.7028448076964,567.2576617243851,569.2348022460938,2231400,0.0,0.0
2024-10-09 00:00:00-04:00,569.8025447935735,580.2167053387806,568.2854583747632,578.6702270507812,2207700,0.0,0.0
2024-10-10 00:00:00-04:00,582.5460464218961,586.2360393650214,580.1774327351654,585.0125732421875,2143200,0.0,0.0
